parc_name,parcel_name,zDCbin_sws_gb_fdr,zDCwei_sws_gb_fdr,zALFF_sws_gb_fdr,zfALFF_sws_gb_fdr,gmd_sws_gb_fdr,zReHo_sws_gb_fdr,sws_gb
17Networks_RH_DefaultA_pCunPCC_3,zReHo_17Networks_RH_DefaultA_pCunPCC_3,,,,,,0.049185718715145,0.049185718715145
17Networks_RH_DefaultA_IPL_2,zReHo_17Networks_RH_DefaultA_IPL_2,,,,,,0.04797148140474,0.04797148140474
17Networks_RH_DefaultA_IPL_1,zReHo_17Networks_RH_DefaultA_IPL_1gmd_17Networks_RH_DefaultA_IPL_1,0,0,0,0,0.04797148140474,0.04797148140474,0.09594296280948
17Networks_RH_LimbicB_OFC_5,zReHo_17Networks_RH_LimbicB_OFC_5,,,,,,0.04797148140474,0.04797148140474
17Networks_RH_LimbicB_OFC_3,zReHo_17Networks_RH_LimbicB_OFC_3,,,,,,0.04797148140474,0.04797148140474
17Networks_RH_LimbicB_OFC_2,zReHo_17Networks_RH_LimbicB_OFC_2zfALFF_17Networks_RH_LimbicB_OFC_2,0,0,0,0.04797148140474,0,0.04797148140474,0.09594296280948
17Networks_RH_SalVentAttnA_FrOper_2,zReHo_17Networks_RH_SalVentAttnA_FrOper_2,,,,,,0.048787092967062,0.048787092967062
17Networks_RH_DorsAttnA_TempOcc_3,zReHo_17Networks_RH_DorsAttnA_TempOcc_3zfALFF_17Networks_RH_DorsAttnA_TempOcc_3,0,0,0,0.048787092967062,0,0.04797148140474,0.096758574371802
17Networks_RH_SomMotB_Cent_3,zReHo_17Networks_RH_SomMotB_Cent_3,,,,,,0.04797148140474,0.04797148140474
17Networks_LH_LimbicB_OFC_3,zReHo_17Networks_LH_LimbicB_OFC_3,,,,,,0.04797148140474,0.04797148140474
17Networks_LH_DorsAttnB_PostC_9,zReHo_17Networks_LH_DorsAttnB_PostC_9,,,,,,0.04797148140474,0.04797148140474
17Networks_LH_SomMotB_Aud_1,zReHo_17Networks_LH_SomMotB_Aud_1,,,,,,0.04797148140474,0.04797148140474
17Networks_LH_SomMotA_13,zReHo_17Networks_LH_SomMotA_13,,,,,,0.04797148140474,0.04797148140474
17Networks_LH_SomMotA_12,zReHo_17Networks_LH_SomMotA_12,,,,,,0.04797148140474,0.04797148140474
cTtha_R,gmd_cTtha_R,,,,,0.04797148140474,,0.04797148140474
17Networks_RH_DefaultA_PFCd_2,gmd_17Networks_RH_DefaultA_PFCd_2,,,,,0.04797148140474,,0.04797148140474
